Timestamp,Location,Customer Name,Items Ordered,Total Amount,Payment Method,Card Number
28/03/2025 09:00,Leeds,Armando Farris,"Large Filter coffee - 1.80, Regular Chai latte - 2.30, Regular Hot Chocolate - 1.40, Large Speciality Tea - English breakfast - 1.60, Large Chai latte - 2.60",9.7,CARD,8326919589358122
28/03/2025 09:01,Leeds,Jessica Graves,"Large Chai latte - 2.60, Large Chai latte - 2.60, Large Chai latte - 2.60",7.8,CARD,5694979190727758
28/03/2025 09:03,Leeds,Wayne Bonavia,"Regular Iced americano - 2.15, Regular Chai latte - 2.30, Regular Iced americano - 2.15, Large Iced americano - 2.50",9.1,CARD,6121838595172839
28/03/2025 09:04,Leeds,Michael Davis,Regular Speciality Tea - English breakfast - 1.30,1.3,CARD,4175969286313676
28/03/2025 09:06,Leeds,Mary Reinschmidt,"Regular Hot Chocolate - 1.40, Regular Chai latte - 2.30, Large Speciality Tea - English breakfast - 1.60",5.3,CARD,8016706696622572
28/03/2025 09:08,Leeds,Cayla Garrett,"Regular Iced americano - 2.15, Regular Chai latte - 2.30",4.45,CARD,6024088580656134
28/03/2025 09:09,Leeds,Christine Myers,Large Chai latte - 2.60,2.6,CASH,
28/03/2025 09:11,Leeds,Anthony Nevins,"Large Filter coffee - 1.80, Large Hot Chocolate - 1.70, Large Filter coffee - 1.80, Large Iced americano - 2.50",7.8,CARD,1758786266840485
28/03/2025 09:11,Leeds,Anthony Nevins,"Large Filter coffee - 1.80, Large Hot Chocolate - 1.70, Large Filter coffee - 1.80, Large Iced americano - 2.50",7.8,CARD,1758786266840485
28/03/2025 09:12,Leeds,Kathryn Holmes,"Regular Hot Chocolate - 1.40, Regular Hot Chocolate - 1.40, Regular Hot Chocolate - 1.40, Large Filter coffee - 1.80",6.0,CASH,
28/03/2025 09:14,Leeds,Irene Benson,"Large Hot Chocolate - 1.70, Large Speciality Tea - English breakfast - 1.60, Regular Speciality Tea - English breakfast - 1.30, Regular Chai latte - 2.30",6.9,CARD,1253480799805096
28/03/2025 09:16,Leeds,Ronald Childress,"Large Speciality Tea - English breakfast - 1.60, Large Hot Chocolate - 1.70, Regular Filter coffee - 1.50, Large Speciality Tea - English breakfast - 1.60",6.4,CARD,3295707750213341
28/03/2025 09:17,Leeds,Carol Eldridge,"Regular Filter coffee - 1.50, Regular Filter coffee - 1.50, Regular Speciality Tea - English breakfast - 1.30, Regular Speciality Tea - English breakfast - 1.30, Large Filter coffee - 1.80",7.4,CARD,8038309477683770
28/03/2025 09:19,Leeds,Armando Medina,"Large Speciality Tea - English breakfast - 1.60, Regular Speciality Tea - English breakfast - 1.30, Regular Chai latte - 2.30, Large Speciality Tea - English breakfast - 1.60, Large Speciality Tea - English breakfast - 1.60",8.4,CARD,9327322174995810
28/03/2025 09:21,Leeds,Julia Shock,"Large Iced americano - 2.50, Large Hot Chocolate - 1.70, Regular Filter coffee - 1.50",5.7,CARD,9732135712980107
28/03/2025 09:22,Leeds,Wilfred Atkins,Regular Speciality Tea - English breakfast - 1.30,1.3,CASH,
28/03/2025 09:24,Leeds,Duane Gheen,"Regular Filter coffee - 1.50, Large Filter coffee - 1.80, Large Chai latte - 2.60, Regular Filter coffee - 1.50",7.4,CARD,7514523924692076
28/03/2025 09:25,Leeds,Mary Bushey,"Regular Filter coffee - 1.50, Large Speciality Tea - English breakfast - 1.60, Large Chai latte - 2.60",5.7,CASH,
28/03/2025 09:27,Leeds,Christine Korczynski,"Regular Chai latte - 2.30, Large Filter coffee - 1.80, Large Filter coffee - 1.80, Large Hot Chocolate - 1.70, Regular Filter coffee - 1.50",9.1,CASH,
28/03/2025 09:29,Leeds,Penelope Black,"Regular Iced americano - 2.15, Regular Filter coffee - 1.50, Regular Iced americano - 2.15",5.8,CASH,
28/03/2025 09:30,Leeds,Jasmine Norman,"Regular Chai latte - 2.30, Large Chai latte - 2.60, Regular Chai latte - 2.30",7.2,CARD,7342940744619420
28/03/2025 09:32,Leeds,Allison Henry,Regular Hot Chocolate - 1.40,1.4,CARD,4203428048965808
28/03/2025 09:33,Leeds,Gilbert Larkin,"Regular Chai latte - 2.30, Regular Iced americano - 2.15, Large Chai latte - 2.60",7.05,CARD,9545158170696792
28/03/2025 09:35,Leeds,Raymond Gilliam,"Regular Filter coffee - 1.50, Regular Chai latte - 2.30, Regular Chai latte - 2.30, Regular Chai latte - 2.30",8.4,CARD,9405905913759856
